Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,TD,C1
DID 461,TNI Clear command,1:clear the display,0:Do nothing,Status Data Request,,,,,,,,
DID 462,TNI Test Flag,1:Test mode,0:Normal mode,Status Data Request,,,,,,,,
DID 463,TNI Train No.,BCD,,Status Data Request,,,,,,,,
DID 464,TNI Brightness,1:Dark,0:Light,Status Data Request,,,,,,,,
DID 480,DI Valid Flag for DI,1:valid,0:no valid,Status Data Request,,,,,,,,
DID 481,DI Clear command,1:clear the display,0:Do nothing,Status Data Request,,,,,,,,
DID 482,DI Test Flag,1:Test mode,0:Normal mode,Status Data Request,,,,,,,,
DID 483,DI Destination code,BCD,,Status Data Request,,,,,,,,
DRM 399,DRM Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRM 400,DRM Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRM 401,DRM Information valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 402,DRM Active,1:Active,0:Inactive,Status Data,,,,,,,,
DRM 404,DRM Network error,1:Error,0:Normal,Status Data,,,,,,,,
DRM 407,DRM DC Saving Mode,1:DC Saving Mode,0:Not DC Saving Mode,Status Data,,,,,,,,
DRM 408,DRM Test Mode On,1:Test Mode,0:Not Test Mode,Status Data,,,,,,,,
DRM 409,DRM Operation Mode,binary,,Status Data,,,,,,,,
DRM 410,DRM Current Display Content Status,binary,,Status Data,,,,,,,,
DRM 411,DRM Emergency Code/Special Code Feedback,binary,,Status Data,,,,,,,,
DRM 412,DRM Car information Valid Car-1,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 413,DRM Car information Valid Car-2,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 414,DRM Car information Valid Car-3,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 415,DRM Car information Valid Car-4,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 416,DRM Car information Valid Car-5,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 417,DRM Car information Valid Car-6,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 418,DRM Car information Valid Car-7,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 419,DRM Car information Valid Car-8,1:Valid,0:Invalid,Status Data,,,,,,,,
DRM 420,GED DT1(Car-1) Back light(?U-side2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 422,DRM DT1(Car-1) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 423,DRM DT1(Car-1) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 424,DRM DT1(Car-1) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 425,DRM DT1(Car-1) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 426,DRM DT1(Car-1) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 428,GED DT1(Car-1) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 430,DRM DT1(Car-1) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 431,DRM DT1(Car-1) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 432,DRM DT1(Car-1) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 433,DRM DT1(Car-1) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 434,DRM DT1(Car-1) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 436,GED PM1(Car-2) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 437,GED PM1(Car-2) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 438,DRM PM1(Car-2) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 439,DRM PM1(Car-2) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 440,DRM PM1(Car-2) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 441,DRM PM1(Car-2) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 442,DRM PM1(Car-2) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 444,GED PM1(Car-2) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 445,GED PM1(Car-2) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 446,DRM PM1(Car-2) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 447,DRM PM1(Car-2) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 448,DRM PM1(Car-2) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 449,DRM PM1(Car-2) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 450,DRM PM1(Car-2) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 452,GED MW1(Car-3) Back light(U-side2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 453,GED MW1(Car-3) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 454,DRM PM1(Car-3) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 455,DRM PM1(Car-3) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 456,DRM PM1(Car-3) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 457,DRM PM1(Car-3) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 458,DRM PM1(Car-3) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 460,GED MW1(Car-3) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 461,GED MW1(Car-3) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 462,DRM PM1(Car-3) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 463,DRM PM1(Car-3) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 464,DRM PM1(Car-3) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 465,DRM PM1(Car-3) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 466,DRM PM1(Car-3) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 468,GED TH1(Car-4) Back light(U-side2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 469,GED TH1(Car-4) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 470,DRM TH1(Car-4) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 471,DRM TH1(Car-4) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 472,DRM TH1(Car-4) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 473,DRM TH1(Car-4) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 474,DRM TH1(Car-4) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 476,GED TH1(Car-4) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 477,GED TH1(Car-4) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 478,DRM TH1(Car-4) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 479,DRM TH1(Car-4) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 480,DRM TH1(Car-4) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 481,DRM TH1(Car-4) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 482,DRM TH1(Car-4) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 484,GED TCH(Car-5) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 485,GED TCH(Car-5) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 486,DRM TCH(Car-5) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 487,DRM TCH(Car-5) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 488,DRM TCH(Car-5) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 489,DRM TCH(Car-5) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 490,DRM TCH(Car-5) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 492,GED TCHA(Car-5) Back light(D-side 2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 493,GED TCH (Car-5) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 494,DRM TCHA (Car-5) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 495,DRM TCHA (Car-5) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 496,DRM TCHA (Car-5) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 497,DRM TCHA (Car-5) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 498,DRM TCHA (Car-5) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 500,GED MW2(Car-6) Back light(U-side2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 501,GED MW2 (Car-6) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 502,DRM MW2 (Car-6) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 503,DRM MW2 (Car-6) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 504,DRM MW2 (Car-6) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 505,DRM MW2 (Car-6) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 506,DRM MW2 (Car-6) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 508,GED MW2(Car-6) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 509,GED MW2 (Car-6) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 510,DRM MW2 (Car-6) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 511,DRM MW2 (Car-6) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 512,DRM MW2 (Car-6) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 513,DRM MW2 (Car-6) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 514,DRM MW2 (Car-6) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 516,GED PM2(Car-7) Back light(U-side2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 517,GED PM2 (Car-7) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 518,DRM PM2 (Car-7) Back light(U-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 519,DRM PM2 (Car-7) Back light(U-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 520,DRM PM2 (Car-7) Back light(U-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 521,DRM PM2 (Car-7) Back light(U-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 522,DRM PM2 (Car-7) Back light(U-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 524,GED PM2(Car-7) Back light(D-side?2)?ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 525,GED PM2 (Car-7) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 526,DRM PM2 (Car-7) Back light(D-side5) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 527,DRM PM2 (Car-7) Back light(D-side4) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 528,DRM PM2 (Car-7) Back light(D-side3) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 529,DRM PM2 (Car-7) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 530,DRM PM2 (Car-7) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 533,GED DT 2 (Car-8) Back light(U-side1) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 534,DRM?DT?2?(Car-8)?Back light(U-side5) ON/OFFA ,1:ON,0:OFF,Status Data,,,,,,,,
DRM 535,DRM DT 2 (Car-8) Back light(U-side4) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 536,DRM DT 2 (Car-8) Back light(U-side3) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 537,DRM DT 2 (Car-8) Back light(U-side2) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 538,DRM DT 2 (Car-8) Back light(U-side1) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 541,GED DT 2 (Car-8) Back light(D-side1) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 542,DRM DT 2 (Car-8) Back light(D-side5) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 543,DRM DT 2 (Car-8) Back light(D-side4) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 544,DRM DT 2 (Car-8) Back light(D-side3) ON/OFFA,1:ON,0:OFF,Status Data,,,,,,,,
DRM 545,DRM DT 2 (Car-8) Back light(D-side2) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 546,DRM DT 2 (Car-8) Back light(D-side1) ON/OFF,1:ON,0:OFF,Status Data,,,,,,,,
DRM 548,DRM DT1(Car-1) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 549,DRM DT1(Car-1) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 550,DRM DT1(Car-1)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 555,DRM DT1(Car-1) Server serious Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 556,DRM DT1(Car-1) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 557,DRM DT1(Car-1) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 558,DRM DT1(Car-1)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 563,DRM DT1(Car-1) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 564,DRM PM1(Car-2) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 565,DRM PM1(Car-2) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 566,DRM PM1(Car-2)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 571,DRM PM1(Car-2) Server serious Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 572,DRM PM1(Car-2) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 573,DRM PM1(Car-2) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 574,DRM PM1(Car-2)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 579,DRM PM1(Car-2) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 580,DRM MW1(Car-3) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 581,DRM MW1(Car-3) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 582,DRM MW1(Car-3)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 587,DRM MW1(Car-3) Server serious Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 588,DRM MW1(Car-3) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 589,DRM MW1(Car-3) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 590,DRM MW1(Car-3)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 595,DRM MW1(Car-3) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 596,DRM TH1(Car-4) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 597,DRM TH1(Car-4) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 598,DRM TH1(Car-4)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 603,DRM TH1(Car-4)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 604,DRM TH1(Car-4) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 605,DRM TH1(Car-4) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 606,DRM TH1(Car-4)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 611,DRM TH1(Car-4) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 612,DRM TCH(Car-5) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 613,DRM TCH(Car-5) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 614,DRM TCH(Car-5)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 619,DRM TCH(Car-5)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 620,DRM TCH(Car-5) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 621,DRM TCH(Car-5) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 622,DRM TCH(Car-5)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 627,DRM TCH(Car-5) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 628,DRM MW2(Car-6) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 629,DRM MW2(Car-6) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 630,DRM MW2(Car-6)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 635,DRM MW2(Car-6)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 636,DRM MW2(Car-6) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 637,DRM MW2(Car-6) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 638,DRM MW2(Car-6)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 643,DRM MW2(Car-6)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 644,DRM PM2(Car-7) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 645,DRM PM2(Car-7) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 646,DRM PM2(Car-7)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 651,DRM PM2 (Car-7) Server serious Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 652,DRM PM2 (Car-7) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 653,DRM PM2 (Car-7) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 654,DRM PM2 (Car-7)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 659,DRM PM2 (Car-7) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 660,DRM DT2(Car-8) CPU Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 661,DRM DT2 (Car-8) HDD Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 662,DRM DT2 (Car-8)Periphe ral H/W Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 667,DRM DT2 (Car-8) Server serious Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 668,DRM DT2 (Car-8) CPU Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 669,DRM DT2 (Car-8) HDD Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 670,DRM DT2 (Car-8)Periphe ral H/W Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 675,DRM DT2 (Car-8) Server serious Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 676,DRM DT1(Car-1) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 677,DRM DT1(Car-1) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 678,DRM DT1(Car-1) Script Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 679,DRM DT1(Car-1) Periphe ral H/W Error2(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 680,DRM DT1(Car-1) Route Code Error (U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 681,DRM DT1(Car-1) Station Code Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 684,DRM DT1(Car-1) Content Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 685,DRM DT1(Car-1) Display log Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 686,DRM DT1(Car-1) Script Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 687,DRM DT1(Car-1) Periphe ral H/W Error2(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 688,DRM DT1(Car-1) Route Code Error (D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 689,DRM DT1(Car-1) Station Code Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 692,DRM PM1(Car-2) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 693,DRM PM1(Car-2) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 694,DRM PM1(Car-2) Script Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 695,DRM PM1(Car-2) Periphe ral H/W Error2(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 696,DRM PM1(Car-2) Route Code Error (U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 697,DRM PM1(Car-2) Station Code Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 700,DRM PM1(Car-2) Content Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 701,DRM PM1(Car-2) Display log Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 702,DRM PM1(Car-2) Script Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 703,DRM PM1(Car-2) Periphe ral H/W Error2(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 704,DRM PM1(Car-2) Route Code Error (D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 705,DRM PM1(Car-2) Station Code Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 708,DRM MW1(Car-3) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 709,DRM MW1(Car-3) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 710,DRM MW1(Car-3) Script Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 711,DRM MW1(Car-3) Periphe ral H/W Error2(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 712,DRM MW1(Car-3) Route Code Error (U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 713,DRM MW1(Car-3) Station Code Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 716,DRM MW1(Car-3) Content Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 717,DRM MW1(Car-3) Display log Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 718,DRM MW1(Car-3) Script Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 719,DRM MW1(Car-3) Periphe ral H/W Error2(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 720,DRM MW1(Car-3) Route Code Error (D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 721,DRM MW1(Car-3) Station Code Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 724,DRM TH1(Car-4) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 725,DRM TH1(Car-4) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 726,DRM TH1(Car-4) Script Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 727,DRM TH1 (Car-4) Periphe ral H/W Error2(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 728,DRM TH1 (Car-4) Route Code Error (U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 729,DRM TH1 (Car-4) Station Code Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 732,DRM TH1 (Car-4) Content Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 733,DRM TH1 (Car-4) Display log Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 734,DRM TH1 (Car-4) Script Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 735,DRM TH1 (Car-4) Periphe ral H/W Error2(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 736,DRM TH1 (Car-4) Route Code Error (D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 737,DRM TH1 (Car-4) Station Code Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 740,DRM TCH(Car-5) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 741,DRM TCH (Car-5) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 742,DRM TCH (Car-5) Script Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 743,DRM TCH (Car-5) Periphe ral H/W Error2(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 744,DRM TCH (Car-5) Route Code Error (U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 745,DRM TCH (Car-5) Station Code Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 748,DRM TCH (Car-5) Content Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 749,DRM TCH (Car-5) Display log Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 750,DRM TCH (Car-5) Script Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 751,DRM TCH (Car-5) Periphe ral H/W Error2(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 752,DRM TCH (Car-5) Route Code Error (D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 753,DRM TCH (Car-5) Station Code Error(D-side),1:error,0:normal,Status Data,,,,,,,,
DRM 756,DRM MW2 (Car-6) Content Error(U-side),1:error,0:normal,Status Data,,,,,,,,
DRM 757,DRM MW2 (Car-6) Display log Error(U-side),1:error,0:normal,Status Data,,,,,,,,
